Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Alexander, Connor",AAC,Memphis,Sr,P,,,27,122,12.3,5.74,6.56,0.339,0.377,0.509,0.377,22.13,26.23,4.37
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,20.2,91,18.68,5.49,13.19,0.294,0.33,0.424,0.324,16.48,30.77,3.49
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,24.2,100,28,12,16,0.13,0.29,0.182,0.236,16,23,3.73
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,59.1,254,25.59,5.91,19.68,0.251,0.327,0.399,0.317,15.35,24.8,3.86
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,28.1,135,19.26,9.63,9.63,0.325,0.415,0.491,0.391,17.78,20,4.71
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,31.2,130,24.62,3.85,20.77,0.225,0.254,0.333,0.252,16.15,30.77,2.92
"Allen, Logan",Conference USA,FIU,Fr,P,,,46.1,209,23.92,5.74,18.18,0.289,0.335,0.46,0.337,13.88,25.84,3.71
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,1,5,40,20,20,0.25,0.4,0.5,0.387,20,0,2.15
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,18.1,93,10.75,17.2,-6.45,0.296,0.43,0.296,0.34,22.58,20.43,5.19
"Allen, Winston",Colonial,Delaware,Fr,P,,,12.1,57,15.79,8.77,7.02,0.234,0.351,0.362,0.319,22.81,24.56,4.97
"Alley, Trent",Southern,Furman,So,UT,,,21,106,20.75,12.26,8.49,0.326,0.443,0.547,0.424,13.21,20.75,6.86
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,69,290,22.07,8.28,13.79,0.237,0.3,0.368,0.289,21.72,22.76,3.6
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,32,154,24.68,11.69,12.99,0.266,0.364,0.438,0.346,18.18,18.18,4.05
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,15.1,72,30.56,13.89,16.67,0.3,0.417,0.383,0.361,16.67,11.11,2.62
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,18.2,112,9.82,20.54,-10.72,0.316,0.5,0.367,0.403,15.18,23.21,7.76
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,22,97,13.4,12.37,1.03,0.253,0.361,0.316,0.307,26.8,20.62,4.01
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,5.2,38,21.05,26.32,-5.27,0.385,0.553,0.462,0.451,5.26,15.79,6.42
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,45.1,197,19.29,8.12,11.17,0.228,0.325,0.323,0.293,19.8,26.4,4.63
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,9,51,13.73,19.61,-5.88,0.316,0.451,0.474,0.399,23.53,13.73,5.26
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,7.2,47,14.89,17.02,-2.13,0.389,0.489,0.417,0.402,12.77,19.15,4.95
"Amador, Willy",Conference USA,Rice,Sr,P,,,22.1,107,10.28,9.35,0.93,0.326,0.411,0.494,0.388,17.76,28.04,5.36
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,21.2,109,11.93,4.59,7.34,0.347,0.394,0.51,0.387,18.35,28.44,5.03
"Ammons, Logan",Southland,SFA,So,P,,,10,49,10.2,16.33,-6.13,0.308,0.429,0.333,0.35,18.37,26.53,4.85
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,5.1,26,15.38,19.23,-3.85,0.211,0.346,0.211,0.268,23.08,19.23,4.52
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,12.2,54,25.93,12.96,12.97,0.244,0.37,0.356,0.328,20.37,16.67,3.07
"Anderson, Aidan",Southland,McNeese,Jr,P,,,39.2,173,28.9,10.4,18.5,0.212,0.312,0.318,0.285,15.03,24.86,2.61
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,15.2,69,13.04,10.14,2.9,0.259,0.348,0.379,0.318,20.29,28.99,3.74
"Anderson, Ben",American East,Binghamton,So,P,,,23,89,19.1,8.99,10.11,0.184,0.27,0.25,0.237,22.47,28.09,2.97
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,P,,,66.1,299,18.73,10.03,8.7,0.284,0.348,0.356,0.307,20.74,20.4,2.95
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,32.2,158,15.19,6.33,8.86,0.34,0.386,0.465,0.367,24.68,20.25,3.58
"Anderson, Elliott",SEC,Auburn,So,P,,,18.2,85,18.82,8.24,10.58,0.27,0.341,0.365,0.311,24.71,20,3.59
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,50,217,20.28,8.76,11.52,0.243,0.323,0.373,0.303,28.57,15.67,3.67
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,1,6,0,16.67,-16.67,0.25,0.333,0.25,0.262,33.33,16.67,6.15
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,14,67,14.93,10.45,4.48,0.291,0.373,0.418,0.342,20.9,22.39,4.58
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,3.1,23,0,13.04,-13.04,0.474,0.565,0.737,0.546,17.39,26.09,11.21
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,48.2,211,20.38,6.16,14.22,0.278,0.327,0.448,0.332,19.91,26.07,3.91
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,15.2,72,19.44,6.94,12.5,0.293,0.347,0.483,0.343,15.28,22.22,5.45
"Anderson, Landon",Big West,Cal St. Fullerton,Fr,P,,,4.2,24,12.5,8.33,4.17,0.3,0.333,0.45,0.324,8.33,37.5,6.24
"Anderson, Luke",SEC,Missouri,Fr,P,,,6.1,35,14.29,22.86,-8.57,0.269,0.457,0.462,0.407,31.43,8.57,8.07
"Anderson, Mark",Patriot,Lafayette,So,P,,,40.1,193,17.62,13.47,4.15,0.282,0.383,0.385,0.338,22.8,17.62,4.02
"Anderson, Mason",Colonial,Towson,Jr,P,,,13.1,70,14.29,15.71,-1.42,0.304,0.443,0.464,0.4,22.86,18.57,5.82
"Anderson, Nick",Big West,UC Irvine,Sr,P,,,15,71,19.72,8.45,11.27,0.311,0.366,0.492,0.361,18.31,21.13,3.55
"Anderson, Reid",Ivy League,Brown,Sr,P,2018,1207,11,49,18.37,0,18.37,0.378,0.429,0.6,0.44,14.29,24.49,4.97
"Anderson, Ryan",Mid-Eastern,Florida A&M,Sr,P,,,38.2,193,15.03,5.7,9.33,0.392,0.43,0.649,0.447,17.62,21.24,5.95
"Anderson, Ryan",Mountain West,Nevada,So,P,,,24.1,104,26.92,7.69,19.23,0.242,0.308,0.374,0.294,24.04,15.38,2.61
"Anderson, Tyler",Mid American,Bowling Green,Sr,P,,,36,172,16.28,11.05,5.23,0.312,0.413,0.383,0.356,18.02,22.09,3.84
"Anderson, Tyler",OVC,Murray St.,Sr,P,,,12.2,74,24.32,18.92,5.4,0.356,0.473,0.525,0.43,13.51,13.51,5.77
"Anderson, William",Mid American,Northern Ill.,Jr,P,,,27.1,131,19.85,3.82,16.03,0.342,0.389,0.444,0.362,17.56,21.37,3.41
"Andrews, Brandon",Southland,Nicholls St.,Fr,P,,,11,48,14.58,6.25,8.33,0.244,0.313,0.537,0.35,12.5,37.5,6.78
"Andrews, Clayton",Big West,Long Beach St.,Jr,OF,2018,515,74,285,33.33,2.81,30.52,0.201,0.239,0.29,0.232,17.89,24.21,1.85
"Andrews, Josh",Western Athletic,Grand Canyon,Jr,P,,,14.2,61,36.07,16.39,19.68,0.102,0.279,0.204,0.238,8.2,27.87,2.58
"Andrews, Luke",Big West,UC Santa Barbara,Jr,P,,,33.1,133,20.3,3.01,17.29,0.228,0.256,0.325,0.25,28.57,22.56,2.84
"Andrews, Tanner",Big 10,Purdue,Sr,P,2018,297,60.2,269,18.59,6.32,12.27,0.3,0.346,0.4,0.322,23.79,20.07,3.4
"Andritsos, Chris",SEC,Texas A&M,So,INF,,,1.2,7,14.29,0,14.29,0.167,0.143,0.333,0.177,28.57,28.57,1.48
"Angel, Kyle",Colonial,Northeastern,Fr,P,,,5.1,32,12.5,31.25,-18.75,0.211,0.469,0.211,0.348,15.63,18.75,8.05
"Antalek, Jason",Metro Atlantic,Iona,So,P,,,9.2,44,15.91,6.82,9.09,0.3,0.364,0.425,0.344,15.91,31.82,2.93
"Anthony, Mike",Atlantic 10,La Salle,Jr,P,,,23.2,114,12.28,12.28,0,0.298,0.377,0.436,0.349,21.93,23.68,4.44
"Appel, Mike",Northeast,Central Conn. St.,Jr,P,,,37,171,22.22,12.87,9.35,0.273,0.386,0.367,0.337,14.62,22.22,3.71
"Applegate, Jason",Big East,Villanova,Jr,P,,,12.1,57,21.05,8.77,12.28,0.255,0.368,0.447,0.354,19.3,21.05,5.54
"Archambault, Jesse",Northeast,Mt. St. Marys,Sr,DH,,,17,99,19.19,24.24,-5.05,0.324,0.485,0.544,0.433,9.09,18.18,7.79
"Archer, Andy",ACC,Georgia Tech,So,P,,,29.1,122,23.77,6.56,17.21,0.257,0.303,0.33,0.277,22.95,19.67,2.53
"Arel, John",American East,Maine,Sr,P,,,46.2,205,21.46,12.2,9.26,0.195,0.341,0.323,0.305,15.12,27.8,4.84
"Arella, Tyler",Big East,Villanova,So,P,,,32.2,155,20,9.68,10.32,0.307,0.368,0.467,0.357,12.9,28.39,4.23
"Arens, Matt",Big West,Cal Poly,Fr,P,,,19,87,11.49,11.49,0,0.28,0.356,0.373,0.321,17.24,33.33,4.36
"Arguelles, Andy",Sun Belt,South Ala.,So,P,,,13.1,59,23.73,18.64,5.09,0.213,0.356,0.362,0.322,11.86,27.12,4.52
"Arias, Jaime",Mountain West,Fresno St.,Fr,P,,,52.2,205,23.9,3.9,20,0.202,0.249,0.372,0.266,19.02,30.24,4.26
