Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Aldrete, Carter",Pac 12,Arizona St.,So,INF,,,128,0.321,0.375,0.446,1,0.125,0,1,21.88,9.38,-12.5,0.412,0.357,2,18
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,2,0,0,0,0,0,0,0,50,0,-50,0,0,-1,0
"Alejo, Ray",AAC,UCF,So,OF,,,76,0.352,0.395,0.493,0,0.141,15,16,22.37,6.58,-15.79,0.463,0.382,3,12
"Alescio, Mike",Big East,Seton Hall,Sr,C,,,184,0.266,0.348,0.361,1,0.095,10,10,31.52,11.41,-20.11,0.406,0.316,-3,19
"Alexander II, Cory",Conference USA,Old Dominion,Jr,OF,,,39,0.184,0.179,0.184,0,0,2,2,25.64,0,-25.64,0.241,0.158,-6,-1
"Alexander, Elijah",Western Athletic,UTRGV,So,OF,,,61,0.157,0.246,0.255,0,0.098,1,1,22.95,1.64,-21.31,0.216,0.238,-5,2
"Alexander, Hill",Missouri Valley,Dallas Baptist,Jr,OF,,,24,0.278,0.417,0.444,0,0.167,1,1,25,20.83,-4.17,0.385,0.372,1,4
"Alexander, Hunter",SEC,Alabama,Sr,INF,,,100,0.286,0.39,0.381,0,0.095,1,1,26,13,-13,0.407,0.344,1,13
"Alexander, Isaac",OVC,Jacksonville St.,Fr,SS,,,66,0.246,0.318,0.351,1,0.105,1,2,22.73,9.09,-13.64,0.317,0.302,-2,6
"Alexander, Luke",SEC,Mississippi St.,Jr,INF,,,190,0.256,0.337,0.378,3,0.122,2,3,19.47,10.53,-8.94,0.312,0.318,-3,20
"Alexander, Troy",Sun Belt,Little Rock,Jr,OF,,,63,0.298,0.365,0.439,1,0.14,2,2,23.81,3.17,-20.64,0.39,0.351,1,9
"Alexiades, Reese",West Coast,Pepperdine,Fr,OF,,,12,0.1,0.167,0.1,0,0,0,0,33.33,8.33,-25,0.167,0.143,-2,0
"Alexis, A.",Southwestern,Prairie View,So,PR,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allard, Conor",Mountain West,Nevada,Fr,C,,,23,0.238,0.304,0.286,0,0.048,0,0,13.04,8.7,-4.34,0.278,0.267,-1,1
"Allbery, Jason",Big East,Creighton,So,OF,,,105,0.2,0.295,0.256,0,0.056,2,2,20,8.57,-11.43,0.257,0.257,-7,6
"Allen, Connor",ACC,Miami (FL),Fr,1B,,,2,0,0,0,0,0,0,0,100,0,-100,NA,0,-1,0
"Allen, Dylan",Big South,Liberty,Jr,INF,,,124,0.181,0.339,0.234,1,0.053,1,2,13.71,12.9,-0.81,0.208,0.286,-5,10
"Allen, Hunter",Southwestern,Alabama St.,Sr,C,,,104,0.205,0.298,0.318,1,0.114,0,0,18.27,10.58,-7.69,0.246,0.28,-5,8
"Allen, Jake",Ivy League,Harvard,Jr,C,,,27,0.2,0.37,0.2,0,0,0,0,37.04,18.52,-18.52,0.4,0.296,-1,2
"Allen, Jojo",OVC,UT Martin,So,INF,,,27,0.074,0.074,0.185,1,0.111,0,0,40.74,0,-40.74,0.067,0.107,-5,-2
"Allen, Jonathan",West Coast,San Francisco,Jr,OF,,,62,0.269,0.371,0.481,3,0.212,2,4,24.19,8.06,-16.13,0.324,0.373,2,10
"Allen, Kobi",West Coast,Pacific,So,OF,,,4,0,0.5,0,0,0,0,0,25,25,0,0,0.353,0,1
"Allen, Logan",Conference USA,FIU,Fr,P,,,40,0.2,0.275,0.286,0,0.086,1,1,30,5,-25,0.304,0.258,-3,2
"Allen, Matt",Big South,Liberty,Sr,C,,,65,0.226,0.338,0.264,0,0.038,0,0,6.15,10.77,4.62,0.24,0.285,-3,5
"Allen, Tanner",SEC,Mississippi St.,Fr,OF,,,103,0.242,0.282,0.368,1,0.126,0,0,23.3,5.83,-17.47,0.314,0.284,-4,8
"Alley, Trent",Southern,Furman,So,UT,,,9,0.25,0.222,0.625,0,0.375,0,0,33.33,0,-33.33,0.4,0.351,0,1
"Alleyne, Chris",Big 10,Maryland,Fr,INF,,,3,NA,0.667,NA,0,NA,0,0,0,33.33,33.33,NA,0.706,1,1
"Alleyne, Craig",Colonial,Towson,Jr,OF,,,18,0.25,0.278,0.313,0,0.063,1,1,16.67,5.56,-11.11,0.308,0.269,-1,1
"Allocca, Will",ACC,Virginia,So,C,,,5,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1
"Allum, Taylor",ASUN,Kennesaw State,Sr,OF,,,133,0.196,0.286,0.321,4,0.125,1,4,21.8,7.52,-14.28,0.225,0.278,-6,10
"Almendarez, Jacob",Sun Belt,Texas State,Jr,INF,,,79,0.299,0.367,0.343,0,0.045,2,3,8.86,10.13,1.27,0.328,0.323,-1,9
"Altavilla, Angelo",Big 10,Nebraska,Jr,INF,,,138,0.262,0.384,0.336,2,0.075,1,1,21.74,15.94,-5.8,0.333,0.333,0,17
"Altenberger, Ryan",Big East,Xavier,Fr,INF,,,51,0.239,0.275,0.348,0,0.109,3,3,39.22,3.92,-35.3,0.393,0.266,-3,3
"Alu, Jake",ACC,Boston College,Jr,2B,,,148,0.269,0.331,0.331,0,0.062,7,13,16.89,7.43,-9.46,0.33,0.299,-4,14
