Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Clarke, Chris",Pac 12,Southern Cal,So,P,,,57.2,255,709,17.65,7.06,10.59,0.286,0.341,0.444,0.338,27.45,20.39,6.09,3.53
"Clawson, Wesley",Mountain West,San Jose St.,Fr,P,,,29,141,264,24.11,7.8,16.31,0.336,0.411,0.392,0.359,17.73,17.02,5.9,2.46
"Clayton, Cyle",Southland,Nicholls St.,Fr,P,,,1.1,6,21,0,33.33,-33.33,0.25,0.5,0.25,0.377,16.67,33.33,0,8.6
"Clayton, John",American East,Albany (NY),So,P,,,65,296,531,14.53,6.42,8.11,0.295,0.345,0.444,0.338,22.97,26.35,4.71,4.09
"Clemente, Weston",Conference USA,Fla. Atlantic,Jr,P,,,17,85,318,27.06,18.82,8.24,0.25,0.4,0.338,0.34,7.06,25.88,5.82,4.21
"Clements, Chris",Big West,UC Santa Barbara,Jr,P,,,43.1,195,681,13.33,7.69,5.64,0.301,0.354,0.381,0.322,26.67,23.08,5.19,3.66
"Clenney, Nolan",ACC,NC State,Jr,P,,,44.2,199,777,27.14,13.07,14.07,0.2,0.337,0.344,0.307,14.57,22.61,3.43,4.55
"Clevenger, Zach",Atlantic 10,Massachusetts,Fr,P,,,9,56,151,14.29,17.86,-3.57,0.395,0.518,0.674,0.495,8.93,23.21,20,8.26
"Clift, Gary",Horizon,Youngstown St.,So,P,,,1,5,NA,0,40,-40,0,0.4,0,0.276,40,20,0,9.15
"Cline, Austin",Atlantic 10,Dayton,Jr,P,,,77,358,830,20.95,9.5,11.45,0.286,0.358,0.415,0.335,22.91,18.16,6.19,3.73
"Clines, Jon",Southern,VMI,So,P,,,11.2,61,214,22.95,29.51,-6.56,0.195,0.443,0.415,0.387,14.75,16.39,7.71,9.22
"Clinton, Zach",Big South,Liberty,Jr,P,,,79.2,329,993,13.37,8.21,5.16,0.259,0.334,0.384,0.316,27.66,25.23,4.63,4.14
"Cloonan, Dylan",ACC,Miami (FL),Fr,P,,,4.1,24,65,8.33,20.83,-12.5,0.316,0.458,0.368,0.379,20.83,25,6.23,5.83
"Clyne, Patrick",Northeast,LIU Brooklyn,So,P,,,85.2,381,596,23.36,10.76,12.6,0.26,0.352,0.406,0.331,17.85,21.52,4.73,4.34
"Clynes, Blake",OVC,Murray St.,Jr,P,,,35.2,196,612,19.39,18.88,0.51,0.313,0.474,0.479,0.417,14.29,16.84,9.34,5.45
"Cmith, Cade",Big West,Hawaii,Fr,P,,,39,176,697,21.02,6.25,14.77,0.292,0.335,0.429,0.327,16.48,27.27,4.62,2.51
"Coates, Colin",SEC,Ole Miss,Jr,P,,,1.1,8,32,12.5,37.5,-25,0.2,0.5,0.2,0.369,12.5,25,13.5,9.51
"Coconcelli, Dom",Atlantic 10,Dayton,So,P,,,5,27,65,11.11,14.81,-3.7,0.286,0.444,0.571,0.433,14.81,29.63,5.4,8.15
"Cofer, Jackson",Sun Belt,Troy,Sr,OF,,,32,135,469,25.19,5.93,19.26,0.224,0.274,0.28,0.247,23.7,22.96,2.81,1.87
"Cofer, Jackson",Western Athletic,Utah Valley,Sr,P,,,28,120,261,15,6.67,8.33,0.262,0.317,0.346,0.291,31.67,19.17,3.21,3.86
"Coffey, Adisyn",Pac 12,Arizona St.,Fr,INF,,,3,16,48,12.5,6.25,6.25,0.308,0.438,0.385,0.376,12.5,31.25,9,4.81
"Coffey, Brendan",Northeast,Sacred Heart,So,C,,,19,91,191,17.58,14.29,3.29,0.247,0.374,0.397,0.341,21.98,20.88,8.05,5.36
"Coffey, Brian",Mountain West,New Mexico,So,P,,,27,134,453,18.66,6.72,11.94,0.38,0.418,0.529,0.402,20.9,16.42,6.67,3.37
"Coffman, Nick",Southland,Incarnate Word,Jr,P,,,9.2,45,169,26.67,6.67,20,0.308,0.378,0.538,0.385,17.78,15.56,4.66,3.58
"Cohen, Chase",Sun Belt,Georgia Southern,Jr,P,2018,263,47,217,854,27.65,13.36,14.29,0.247,0.355,0.357,0.319,14.29,21.2,4.4,3.47
"Cohen, Harrison",Atlantic 10,George Washington,Fr,P,,,13.1,65,205,23.08,18.46,4.62,0.235,0.385,0.294,0.318,16.92,20,5.4,3.83
"Cohen, Tyler",West Coast,Loyola Marymount,Sr,P,,,33.1,141,479,19.86,7.8,12.06,0.256,0.333,0.288,0.284,26.24,19.86,1.62,2.81
"Cohn, Aaron",Northeast,Fairleigh Dickinson,Fr,P,,,33.1,172,320,13.37,13.37,0,0.297,0.413,0.435,0.371,27.91,15.12,5.94,4.87
"Coker, Calvin",SEC,Auburn,Sr,P,2018,443,58.1,255,848,21.18,8.24,12.94,0.258,0.325,0.397,0.315,25.88,19.61,4.78,3.87
"Cole, Dazon",Mid American,Central Mich.,Jr,OF,2018,751,45.2,215,464,20,12.56,7.44,0.274,0.372,0.423,0.344,16.74,22.33,4.73,4.81
"Cole, Mason",SEC,Texas A&M,So,P,,,6.2,31,124,19.35,16.13,3.22,0.208,0.323,0.292,0.277,22.58,19.35,2.7,3.63
"Coleman, Carson",SEC,Kentucky,Fr,P,,,20,91,391,35.16,19.78,15.38,0.183,0.363,0.296,0.311,8.79,19.78,3.15,4.25
"Coleman, Dylan",Missouri Valley,Missouri St.,Jr,P,2018,111,102.2,439,1744,29.38,13.44,15.94,0.2,0.323,0.295,0.285,20.5,17.54,3.77,3.51
"Coles, Chad",Horizon,Youngstown St.,Fr,P,,,28,150,519,19.33,16.67,2.66,0.322,0.44,0.483,0.398,13.33,20.67,13.18,5
"Colette, Jack",Mountain West,San Jose St.,Fr,OF,,,5,23,42,13.04,21.74,-8.7,0.222,0.391,0.222,0.303,30.43,17.39,1.8,4.95
"Coletti, Vince",Conference USA,Fla. Atlantic,Jr,P,,,78.1,350,905,14.57,5.71,8.86,0.307,0.357,0.443,0.345,26.86,21.14,4.83,4.41
"Colley, Devin",OVC,SIUE,So,P,,,13.2,57,198,19.3,1.75,17.55,0.321,0.351,0.434,0.337,15.79,28.07,5.27,2.16
"Collins, Casey",OVC,Eastern Ky.,Sr,P,,,41.2,175,775,32.57,11.43,21.14,0.207,0.314,0.367,0.302,13.14,22.29,4.97,3.39
"Collins, Jack",Colonial,Col. of Charleston,Fr,P,,,2,8,31,0,12.5,-12.5,0.286,0.375,0.286,0.306,25,37.5,0,4.65
"Collins, Jack",Mid American,Central Mich.,Jr,P,,,44.2,194,300,24.74,12.89,11.85,0.236,0.34,0.304,0.293,17.53,21.13,4.03,3.17
"Collins, Michael",Northeast,Mt. St. Marys,Jr,P,,,52.2,285,815,9.47,13.33,-3.86,0.357,0.46,0.537,0.425,20.35,21.4,10.25,5.98
"Collins, Zane",Horizon,Wright St.,Jr,P,,,66.2,288,1044,16.67,15.28,1.39,0.228,0.351,0.329,0.309,30.9,15.97,4.18,4.81
"Colmore, Cam",AAC,East Carolina,So,P,,,6.1,30,127,23.33,6.67,16.66,0.296,0.367,0.37,0.329,20,20,5.68,2.33
"Colon, Joshua",ASUN,Lipscomb,Jr,P,,,55,254,945,14.17,11.02,3.15,0.254,0.366,0.359,0.326,22.05,25.2,3.76,4.97
"Colon, Matt",Colonial,James Madison,Sr,P,,,22,98,332,24.49,10.2,14.29,0.235,0.327,0.333,0.293,23.47,15.31,2.45,3.92
"Colvin, Clayton",AAC,Cincinnati,Jr,P,,,29.2,125,510,30.4,10.4,20,0.218,0.312,0.382,0.305,12.8,25.6,3.94,3.42
"Combs, Bailey",ACC,Georgia Tech,Jr,P,,,10.1,50,171,20,14,6,0.237,0.42,0.368,0.364,20,18,6.1,6.02
"Combs, Shane",ACC,Notre Dame,Jr,P,,,1,12,36,8.33,50,-41.67,0.5,0.75,0.667,0.595,16.67,0,36,19.15
"Compton, Max",Big West,UC Riverside,Sr,P,,,50.1,231,763,20.35,8.23,12.12,0.276,0.364,0.365,0.326,17.32,25.97,4.47,3.21
"Conaway, Clay",Colonial,Delaware,Jr,P,,,29,124,371,13.71,8.06,5.65,0.234,0.331,0.29,0.285,23.39,29.03,2.48,3.63
"Concato, Michael",Ivy League,Dartmouth,Sr,P,,,9,42,119,19.05,9.52,9.53,0.324,0.405,0.378,0.351,19.05,21.43,3,3.04
"Concevitch, Ian",Mid-Eastern,Savannah St.,So,P,,,7.2,40,119,17.5,17.5,0,0.323,0.475,0.484,0.423,10,25,11.74,6.76
"Conger, Maddux",SEC,Vanderbilt,Jr,P,2018,645,20.1,92,357,23.91,15.22,8.69,0.243,0.359,0.338,0.313,18.48,18.48,2.21,3.84
"Conine, Brett",Big West,Cal St. Fullerton,Jr,P,2018,342,44,202,710,24.26,3.96,20.3,0.293,0.322,0.387,0.303,21.78,17.33,4.09,2.33
"Conlon, Jack",SEC,Texas A&M,Fr,P,,,2,6,21,0,0,0,0,0,0,0,83.33,16.67,0,3.15
"Conn, Trevor",Missouri Valley,Dallas Baptist,Sr,P,,,68.2,289,1060,19.72,7.61,12.11,0.244,0.311,0.366,0.298,24.22,24.57,3.15,3.95
"Connolly, Charlie",Patriot,Navy,Fr,P,,,11,56,163,30.36,14.29,16.07,0.313,0.411,0.333,0.34,16.07,12.5,6.55,2.24
"Connolly, Ryan",Big East,Creighton,So,P,,,10,53,171,16.98,13.21,3.77,0.356,0.434,0.444,0.384,22.64,15.09,9.9,3.45
"Connolly, Shane",Southern,The Citadel,Fr,P,,,7.1,48,175,14.58,14.58,0,0.432,0.5,0.811,0.516,14.58,14.58,18.41,8.22
"Conroy, Henry",Metro Atlantic,Iona,So,P,,,10.1,55,181,14.55,9.09,5.46,0.356,0.436,0.467,0.39,25.45,12.73,11.32,3.94
"Conroy, Ryan",Colonial,Elon,Jr,P,2018,235,79.1,354,1318,18.93,9.04,9.89,0.24,0.316,0.319,0.283,29.38,16.95,3.29,3.43
"Constant, Ricky",American East,UMass Lowell,Jr,P,,,15.2,72,304,30.56,12.5,18.06,0.211,0.361,0.333,0.318,16.67,15.28,5.17,3.87
"Constantakos, Nik",Big South,Charleston So.,So,P,,,24,111,447,20.72,7.21,13.51,0.277,0.342,0.426,0.328,14.41,26.13,4.88,4.36
"Constantini, Austin",Atlantic 10,La Salle,Sr,INF,,,23.1,108,303,24.07,6.48,17.59,0.327,0.361,0.459,0.349,16.67,20.37,6.94,2.37
"Contento, Ben",Atlantic 10,St. Bonaventure,Sr,P,,,34,161,501,23.6,9.94,13.66,0.261,0.36,0.396,0.332,15.53,22.36,6.62,4.09
"Conway, Austin",ACC,Louisville,Sr,P,2018,918,24,107,428,25.23,15.89,9.34,0.205,0.346,0.375,0.324,16.82,23.36,2.25,5.44
"Conway, Cory",OVC,Morehead St.,Fr,P,,,52,210,737,25.71,9.05,16.66,0.222,0.3,0.324,0.278,19.52,23.33,3.63,3.59
"Cook, Braydon",OVC,Murray St.,Fr,P,,,47.1,227,762,16.74,12.78,3.96,0.286,0.392,0.465,0.369,19.38,22.03,5.7,5.48
"Cook, Brett",Metro Atlantic,Niagara,Jr,P,,,7,38,44,10.53,26.32,-15.79,0.217,0.474,0.217,0.354,18.42,18.42,1.29,7.58
"Cook, Cole",Missouri Valley,Bradley,Jr,P,,,75.2,336,994,15.48,5.36,10.12,0.301,0.342,0.408,0.324,22.32,25.89,4.88,3.2
"Cook, Jeremy",ACC,Miami (FL),Fr,P,,,19.2,105,398,17.14,19.05,-1.91,0.284,0.457,0.419,0.39,12.38,20.95,4.58,6.84
"Cook, Karter",Mountain West,Air Force,Jr,P,,,1,4,19,25,25,0,0,0.25,0,0.173,25,25,0,4.15
"Cook, Matt",OVC,Southeast Mo. St.,Fr,P,,,5.2,25,81,8,8,0,0.348,0.4,0.522,0.396,24,28,6.35,6.03
"Cooner, Joey",Conference USA,Charlotte,Jr,P,,,69.2,318,893,13.21,8.18,5.03,0.285,0.349,0.433,0.336,23.58,25.47,5.43,4.64
"Cooper, Chris",Southland,A&M-Corpus Chris,Sr,P,,,32,148,544,18.24,9.46,8.78,0.24,0.351,0.339,0.311,21.62,22.3,2.81,4.43
"Cooper, Cristian",Southwestern,Prairie View,Sr,P,,,17,100,370,11,17,-6,0.364,0.49,0.481,0.425,24,14,9.53,6.32
"Cooper, Riley",Southland,Sam Houston St.,Sr,P,,,16.2,82,266,23.17,15.85,7.32,0.284,0.39,0.418,0.352,19.51,15.85,5.4,3.21
"Cooper, Sam",Atlantic 10,Massachusetts,Fr,P,,,27.2,134,427,12.69,6.72,5.97,0.345,0.403,0.552,0.402,27.61,16.42,7.81,5.83
"Copeland, Cameron",Southland,Houston Baptist,Sr,P,,,14,60,195,15,5,10,0.298,0.333,0.544,0.37,16.67,35,6.43,5.29
"Coppo, Tyler",American East,Hartford,So,P,,,17.1,82,141,12.2,19.51,-7.31,0.234,0.402,0.406,0.363,17.07,30.49,6.75,7.42
"Corbell, Jack",Mid American,Miami (OH),Jr,P,,,23,102,304,23.53,6.86,16.67,0.315,0.373,0.416,0.342,18.63,17.65,3.91,3.49
"Corbin, Luke",Southern,Samford,So,P,,,2.2,20,67,10,30,-20,0.364,0.6,0.545,0.49,5,20,16.88,12.24
"Corbitt, Andrew",Big South,Longwood,Sr,P,,,0.2,10,36,0,20,-20,0.6,0.8,1.4,0.76,10,10,81,78.15
"Cordell, Brian",Mid-Eastern,UMES,Fr,OF,,,15,69,105,10.14,8.7,1.44,0.274,0.348,0.532,0.371,23.19,31.88,4.8,5.35
"Cordrey, Troy",Conference USA,UAB,Fr,P,,,12.2,63,75,15.87,9.52,6.35,0.34,0.413,0.585,0.414,26.98,12.7,6.39,4.54
"Cornatzer, Jason",Sun Belt,Appalachian St.,Fr,P,,,12.2,58,188,8.62,10.34,-1.72,0.3,0.379,0.36,0.33,25.86,25.86,3.55,4.05
"Cornish, Austin",Southland,SFA,Jr,P,,,9.1,60,237,23.33,33.33,-10,0.212,0.55,0.273,0.417,6.67,13.33,16.39,8.64
"Correira, Arthur",Metro Atlantic,Quinnipiac,Fr,P,,,28.2,139,360,12.95,14.39,-1.44,0.336,0.432,0.457,0.388,20.86,21.58,4.08,5.03
"Corrigan, Brady",Pac 12,Arizona St.,Fr,P,,,33,147,527,15.65,11.56,4.09,0.236,0.333,0.293,0.285,23.13,25.17,5.18,3.97
"Cortelli, Cody",Conference USA,FIU,Fr,P,,,11.1,55,13,21.82,16.36,5.46,0.175,0.364,0.3,0.311,23.64,14.55,6.35,5.67
"Coss, Mike",Metro Atlantic,Marist,Sr,P,,,48,200,599,27,7.5,19.5,0.213,0.285,0.287,0.257,28,15,3.38,2.63
"Costanzo, Michael",OVC,Austin Peay,Sr,P,2018,930,89.2,388,1386,26.8,7.22,19.58,0.269,0.32,0.426,0.319,13.14,26.03,4.62,3.72
"Cota, Bryce",Big South,Campbell,So,P,,,6.1,34,130,20.59,26.47,-5.88,0.261,0.471,0.261,0.359,11.76,17.65,2.84,5.77
"Cota, Clark",Colonial,UNCW,Jr,OF,2018,293,35.1,146,545,32.19,15.07,17.12,0.142,0.295,0.233,0.254,12.33,26.03,2.04,3.43
"Cottingham-Beard, Sam",Summit League,Western Ill.,Sr,P,,,23.1,109,406,19.27,19.27,0,0.205,0.376,0.313,0.32,21.1,20.18,3.47,5.01
"Coughlin, Cal",Big 12,TCU,So,P,,,31.1,121,344,18.18,6.61,11.57,0.174,0.24,0.193,0.201,36.36,19.83,1.44,2.7
"Coulter, Kevin",Southern,Mercer,Jr,P,,,40.1,197,751,22.34,10.15,12.19,0.333,0.416,0.474,0.388,21.83,13.71,6.92,4.77
"Counsellor, Austin",Metro Atlantic,Monmouth,Sr,P,,,45.2,189,472,21.69,4.76,16.93,0.235,0.286,0.271,0.249,25.4,21.69,0.79,2.26
"Cournoyer, Brenden",American East,Albany (NY),Fr,P,,,20.1,92,99,14.13,8.7,5.43,0.287,0.359,0.425,0.339,25,22.83,5.31,3.99
"Courtney, Justin",American East,Maine,Sr,P,,,21,87,243,29.89,9.2,20.69,0.184,0.264,0.289,0.247,24.14,17.24,2.57,2.58
"Coutinho, Ivan",Mid-Eastern,Bethune-Cookman,Sr,P,,,31.2,136,437,33.82,12.5,21.32,0.186,0.294,0.288,0.266,20.59,16.18,3.41,2.76
"Coutts, Jackson",Atlantic 10,Rhode Island,Fr,UT,,,1,8,38,12.5,62.5,-50,0,0.625,0,0.432,0,25,36,16.15
"Coverdale, Garrett",Mid-Eastern,Delaware St.,Sr,P,,,3.2,15,NA,26.67,0,26.67,0.286,0.333,0.571,0.382,13.33,26.67,7.36,5.65
"Covers, Austin",AAC,East Carolina,Jr,P,,,4.1,22,72,18.18,18.18,0,0.294,0.455,0.294,0.358,27.27,9.09,10.38,4.85
"Covington, West",AAC,East Carolina,Sr,P,,,22,97,315,10.31,7.22,3.09,0.241,0.309,0.325,0.28,31.96,22.68,3.27,4.19
"Coward, Connor",ACC,Virginia Tech,Sr,P,2018,783,78,351,1190,21.65,9.4,12.25,0.261,0.339,0.409,0.325,19.66,22.51,5.19,4.24
"Cowart, Zach",Sun Belt,Georgia Southern,Jr,P,,,17.2,105,310,10.48,17.14,-6.66,0.429,0.524,0.583,0.472,15.24,20,14.77,6.69
"Cowell, Mike",Atlantic 10,Fordham,Jr,INF,,,31.2,146,551,27.4,6.85,20.55,0.29,0.356,0.366,0.321,19.86,16.44,4.26,2.35
"Cox, Austin",Southern,Mercer,Jr,P,2018,152,87.2,404,1618,30.69,10.64,20.05,0.283,0.356,0.397,0.329,18.32,13.12,4.52,2.6
"Cox, Grant",Sun Belt,Louisiana,Jr,P,,,21,98,336,14.29,14.29,0,0.253,0.388,0.38,0.345,32.65,13.27,4.71,5.62
"Cox, Jordan",Atlantic 10,Dayton,So,P,,,42.2,216,427,17.13,13.89,3.24,0.266,0.403,0.379,0.352,17.13,23.15,6.54,5.3
"Cox, Khalyd",Mid-Eastern,Savannah St.,Jr,OF,,,0.2,7,28,14.29,14.29,0,0.667,0.714,0.833,0.652,14.29,0,54,8.15
"Cox, Taylor",Big South,Charleston So.,Sr,P,,,15.2,74,291,31.08,17.57,13.51,0.263,0.419,0.421,0.375,16.22,9.46,4.6,5.84
"Coyne, Parker",SEC,South Carolina,Fr,P,,,22.2,92,285,28.26,14.13,14.13,0.195,0.315,0.338,0.294,11.96,27.17,3.18,4.45
"Craft, Derek",Conference USA,UTSA,Jr,P,2018,487,52.1,210,797,29.52,5.24,24.28,0.214,0.276,0.294,0.254,15.71,24.76,1.89,2.55
"Crane, Andrew",Sun Belt,Troy,Sr,P,,,98.2,415,1317,20.96,8.19,12.77,0.237,0.304,0.36,0.29,22.65,23.86,2.74,4.02
"Cranston, John",Colonial,Towson,Jr,P,,,0.2,5,15,0,20,-20,0.5,0.6,1,0.635,0,40,27,18.15
"Craver, Jacob",Conference USA,Charlotte,Sr,P,,,8,36,110,5.56,8.33,-2.77,0.29,0.389,0.516,0.39,36.11,19.44,7.88,7.77
"Crawford, Brooks",ACC,Clemson,Jr,P,,,80.2,329,425,17.63,5.47,12.16,0.233,0.277,0.38,0.282,23.71,29.79,3.24,3.75
"Crawford, Jake",Southern,Furman,Jr,3B,,,24.1,117,393,19.66,11.11,8.55,0.283,0.359,0.434,0.341,20.51,20.51,5.92,4.6
"Crebs, Austin",Northeast,Fairleigh Dickinson,Fr,P,,,39.2,195,405,13.85,8.72,5.13,0.333,0.405,0.538,0.402,22.56,22.05,7.26,5.44
"Creed, Cody",OVC,Southeast Mo. St.,Jr,P,,,26,126,479,15.87,16.67,-0.8,0.263,0.413,0.424,0.372,17.46,24.6,5.88,6.11
"Creger, Billy",Southern,Samford,Fr,P,,,11.2,52,195,21.15,17.31,3.84,0.175,0.346,0.275,0.294,17.31,25,5.4,5.29
"Creighton, Cole",American East,Stony Brook,Sr,P,,,31.1,136,415,15.44,5.15,10.29,0.298,0.353,0.452,0.347,33.09,15.44,4.02,4.11
"Crispin, Josh",Southwestern,Jackson St.,Jr,INF,,,2,9,NA,11.11,11.11,0,0.143,0.333,0.571,0.381,44.44,11.11,4.5,11.65
"Criswell, Cooper",ACC,North Carolina,Jr,P,2018,391,75.1,314,1171,27.39,3.82,23.57,0.244,0.287,0.381,0.289,21.02,21.66,2.99,3
"Criswell, Jeff",Big 10,Michigan,Fr,P,,,32.1,131,504,24.43,14.5,9.93,0.171,0.313,0.257,0.269,27.48,14.5,2.23,4.11
"Crochet, Garrett",SEC,Tennessee,Fr,P,,,63.2,297,910,20.88,8.75,12.13,0.272,0.357,0.48,0.356,18.52,21.89,5.51,5.66
"Croner, Nathan",Missouri Valley,Evansville,So,P,,,28,138,507,24.64,21.74,2.9,0.196,0.428,0.268,0.342,10.87,21.01,5.79,5
"Cronin, Declan",Patriot,Holy Cross,Jr,P,,,67,307,744,21.82,11.4,10.42,0.288,0.371,0.404,0.338,26.71,11.73,4.16,3.48
"Cronin, Matt",SEC,Arkansas,So,P,,,48.1,183,597,32.24,7.65,24.59,0.149,0.219,0.238,0.207,16.94,28.96,3.54,2.44
"Crosby, Grant",OVC,Morehead St.,So,P,,,14.1,79,277,24.05,10.13,13.92,0.368,0.43,0.647,0.447,10.13,20.25,10.67,6.98
"Cross, Austin",Big South,Radford,Fr,P,,,1.2,6,27,33.33,0,33.33,0.167,0.167,0.167,0.146,16.67,33.33,0,-0.19
"Cross, Trevor",Missouri Valley,Illinois St.,Sr,P,,,39,184,655,27.72,10.33,17.39,0.247,0.342,0.331,0.302,13.59,21.74,5.31,3.12
"Crow, Louis",West Coast,San Diego,So,P,,,26.2,142,497,11.97,14.08,-2.11,0.333,0.458,0.586,0.44,19.01,21.13,12.15,8.03
"Croy, Brad",Mid American,Bowling Green,Jr,INF,,,37.1,193,244,18.65,13.47,5.18,0.321,0.425,0.404,0.368,15.54,20.73,5.06,4.14
"Crudo, Quentin",Metro Atlantic,Iona,Fr,P,,,1.1,11,NA,0,27.27,-27.27,0.5,0.636,1.125,0.674,18.18,18.18,40.5,23.15
"Crumley, Jason",Big South,Winthrop,So,OF,,,40.1,172,445,21.51,8.14,13.37,0.245,0.308,0.31,0.276,21.51,25,2.9,2.75
"Cruz, Richie",AAC,USF,Jr,P,,,22,101,389,26.73,9.9,16.83,0.284,0.366,0.364,0.325,21.78,13.86,3.27,2.92
"Cuas, Alex",Colonial,Towson,Jr,P,,,34,179,742,16.76,24.02,-7.26,0.25,0.441,0.281,0.347,18.44,18.44,8.21,5.53
"Culbertson, Peyton",Sun Belt,Arkansas St.,Jr,P,2018,237,50.2,238,782,20.17,13.03,7.14,0.255,0.387,0.34,0.331,17.65,21.01,3.73,4.12
"Culliver, Joshua",Big 10,Minnesota,Fr,P,,,26.2,113,366,16.81,9.73,7.08,0.248,0.327,0.317,0.291,19.47,30.97,3.71,3.57
"Cumbie, Trey",AAC,Houston,Jr,P,2018,390,103.2,420,1604,26.19,6.19,20,0.21,0.269,0.335,0.265,20.48,25.71,3.47,3.33
"Cumming, Dylan",Western Athletic,Chicago St.,Fr,P,,,73.1,377,664,16.71,12.47,4.24,0.307,0.435,0.457,0.392,18.3,20.16,8.1,5.8
"Cunico, Dan",American East,UMass Lowell,Sr,P,,,16.1,78,286,16.67,17.95,-1.28,0.241,0.397,0.293,0.324,26.92,12.82,7.71,5.51
"Cupo, Carson",Southern,Samford,So,P,,,11.2,58,205,17.24,15.52,1.72,0.255,0.362,0.34,0.315,15.52,27.59,4.63,4.93
"Curlis, Connor",Big 10,Ohio State,Jr,P,2018,709,88.2,378,1513,20.37,8.2,12.17,0.26,0.323,0.362,0.299,18.25,26.72,3.55,3.18
"Currao, Brad",Northeast,Wagner,Sr,P,,,35.1,164,444,14.63,10.98,3.65,0.265,0.366,0.324,0.313,19.51,26.83,4.08,3.83
"Currie, Stewart",ACC,Louisville,So,P,,,2.2,14,53,21.43,7.14,14.29,0.333,0.429,0.583,0.427,21.43,14.29,3.38,3.15
"Currier, Josh",Horizon,Valparaiso,Fr,P,,,8,50,180,10,20,-10,0.333,0.48,0.417,0.4,16,22,10.12,6.4
"Curry, Derrick",Southwestern,Prairie View,Fr,P,,,64.1,321,872,11.53,9.97,1.56,0.337,0.414,0.567,0.412,19.31,24.92,8.67,6.39
"Curry, Joah",Sun Belt,Georgia St.,Fr,OF,,,4,19,58,26.32,10.53,15.79,0.313,0.421,0.313,0.342,21.05,10.53,6.75,2.9
"Curry, Xzavion",ACC,Georgia Tech,So,P,,,92.2,385,1422,26.23,5.97,20.26,0.224,0.283,0.403,0.296,15.58,29.09,4.18,4.33
"Curtin, Tom",Northeast,Central Conn. St.,Jr,P,,,16.1,90,115,10,6.67,3.33,0.423,0.467,0.564,0.437,18.89,21.11,11.02,4.51
"Curtis, Keegan",Sun Belt,La.-Monroe,Sr,P,2018,667,34.1,142,368,33.1,7.75,25.35,0.203,0.275,0.309,0.257,14.79,21.13,2.88,2.38
"Cuse, Conor",Big East,Georgetown,Sr,P,,,11.2,74,262,20.27,27.03,-6.76,0.306,0.527,0.449,0.439,9.46,16.22,13.89,8.06
"Cushing, Jack",Big East,Georgetown,Jr,P,,,63.2,315,898,13.65,9.84,3.81,0.317,0.397,0.489,0.379,22.86,21.59,6.79,4.92
"Cutting, Ben",Western Athletic,CSU Bakersfield,Jr,P,,,30.2,144,435,13.89,13.19,0.7,0.298,0.389,0.379,0.342,25,21.53,4.99,4.14
"Cyr, Ryan",Big 12,Kansas,So,P,,,56.2,257,847,21.4,12.45,8.95,0.274,0.377,0.393,0.343,21.4,19.07,4.29,4.09
"Czabala, Sam",Big East,Xavier,Jr,P,,,9,51,113,15.69,17.65,-1.96,0.385,0.51,0.667,0.489,11.76,19.61,12,9.37
"D'Anna, Dylan",Metro Atlantic,Siena,Jr,P,,,17,77,222,15.58,9.09,6.49,0.318,0.39,0.485,0.374,23.38,19.48,4.24,4.09
"Daczkowski, Drew",Big South,High Point,So,P,,,31,136,387,28.68,14.71,13.97,0.176,0.338,0.306,0.299,13.97,22.79,4.06,4.08
"Daigle, Evan",Southland,Northwestern St.,Fr,P,,,13.1,54,186,12.96,12.96,0,0.196,0.296,0.196,0.236,24.07,31.48,1.35,3.68
"Dailey, Michael",Atlantic 10,VCU,Jr,P,,,29.1,140,545,17.86,15.71,2.15,0.293,0.421,0.466,0.39,17.14,23.57,6.14,5.35
"Daily, Alec",Western Athletic,CSU Bakersfield,Jr,P,,,64.2,303,1120,19.47,11.55,7.92,0.259,0.37,0.385,0.334,18.15,22.77,4.59,4.36
"Daily, Ethan",Sun Belt,Little Rock,Jr,P,,,27.2,129,522,20.93,23.26,-2.33,0.247,0.434,0.289,0.347,20.93,14.73,3.9,4.69
"Dalatri, Luca",ACC,North Carolina,So,P,,,27,123,457,25.2,5.69,19.51,0.304,0.341,0.417,0.328,18.7,21.14,3.33,2.59
"Dallas, Jack",Southland,Lamar,Fr,P,,,42.2,184,639,20.11,9.78,10.33,0.272,0.337,0.389,0.316,21.74,22.28,3.59,3.6
"Dalton, Tanner",Western Athletic,Sacramento St.,Jr,P,,,41.2,183,661,23.5,8.2,15.3,0.233,0.328,0.358,0.306,16.94,26.23,3.02,3.68
"Daly, Pat",Northeast,Mt. St. Marys,Fr,OF,,,3,16,NA,18.75,25,-6.25,0.273,0.5,0.364,0.405,12.5,18.75,12,6.15
"Daly, Tyler",Patriot,Bucknell,Fr,P,,,1.2,13,40,7.69,0,7.69,0.667,0.615,1,0.6,7.69,7.69,27,6.48
"Dame, Hunter",Missouri Valley,Missouri St.,So,P,,,1,5,8,0,0,0,0.4,0.4,0.6,0.424,40,20,9,3.15
"Dameron, Andrew",Northeast,Mt. St. Marys,So,P,,,31.2,155,391,9.03,13.55,-4.52,0.32,0.439,0.408,0.379,24.52,21.29,7.39,5.78
