Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,Pitches,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,ERA,FIP
"Alderman, Trey",Big South,Radford,So,P,,,15.1,69,208,15.94,7.25,8.69,0.241,0.319,0.466,0.331,30.43,17.39,6.46,6.72
"Aleaziz, Reza",Big 12,Oklahoma State,Jr,P,2018,854,46.1,212,707,15.57,12.26,3.31,0.269,0.363,0.389,0.33,25.47,19.34,4.47,4.8
"Alepra, Anthony",Big 10,Northwestern,Fr,P,,,22,101,126,12.87,7.92,4.95,0.308,0.376,0.374,0.334,13.86,35.64,6.95,3.33
"Alexander, Connor",AAC,Memphis,Sr,P,,,45,203,573,11.82,7.88,3.94,0.311,0.365,0.47,0.357,25.12,25.12,5.2,4.66
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,31,132,519,22.73,7.58,15.15,0.248,0.303,0.364,0.291,21.21,25,3.19,3.02
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,39.2,162,696,27.16,14.81,12.35,0.14,0.302,0.171,0.24,17.9,23.46,2.5,3.61
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,79.2,344,1298,24.71,8.43,16.28,0.236,0.326,0.385,0.312,17.44,23.55,3.95,3.9
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,39.1,203,542,14.29,8.37,5.92,0.383,0.448,0.6,0.442,15.76,23.15,8.69,5.5
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,46.2,195,727,24.62,6.15,18.47,0.22,0.267,0.35,0.265,18.97,27.18,3.28,3.04
"Allen, Logan",Conference USA,FIU,Fr,P,,,74,310,404,27.42,5.16,22.26,0.262,0.303,0.404,0.303,15.81,23.87,3.89,3.07
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,1.1,9,43,33.33,22.22,11.11,0.333,0.556,0.5,0.469,11.11,0,13.5,5.87
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,30.1,154,474,12.99,17.53,-4.54,0.305,0.448,0.381,0.376,20.13,20.13,5.64,5.97
"Allen, Winston",Colonial,Delaware,Fr,P,,,18.2,88,351,15.91,10.23,5.68,0.247,0.364,0.37,0.328,22.73,23.86,5.3,4.63
"Alley, Trent",Southern,Furman,So,UT,,,32.2,165,575,18.79,13.33,5.46,0.324,0.436,0.522,0.413,13.33,23.64,9.09,6.25
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,97,401,1117,23.69,6.98,16.71,0.238,0.292,0.373,0.286,20.7,23.44,2.41,3.52
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,49.1,238,856,19.75,11.76,7.99,0.269,0.366,0.421,0.341,23.11,17.65,6.57,4.37
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,25.2,120,433,28.33,14.17,14.16,0.287,0.4,0.406,0.359,17.5,14.17,5.26,3.23
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,25.2,163,346,9.2,25.15,-15.95,0.318,0.528,0.418,0.431,15.34,21.47,11.22,9.06
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,29,147,522,10.2,12.24,-2.04,0.336,0.429,0.459,0.386,25.85,19.05,6.83,4.84
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,6.2,43,191,23.26,27.91,-4.65,0.345,0.535,0.414,0.431,6.98,13.95,9.45,6.21
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,70,316,1177,20.57,8.86,11.71,0.256,0.348,0.359,0.316,18.67,24.37,4.89,4.53
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,18.2,94,331,17.02,12.77,4.25,0.292,0.404,0.389,0.35,23.4,13.83,6.27,4.19
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,11.2,78,315,10.26,20.51,-10.25,0.431,0.538,0.552,0.465,16.67,15.38,18.51,6.27
"Amador, Willy",Conference USA,Rice,Sr,P,,,35,169,209,12.43,12.43,0,0.3,0.402,0.493,0.384,19.53,26.04,5.91,5.66
"Ames, Donnie",Missouri Valley,Indiana St.,So,P,,,36.2,177,442,12.43,5.65,6.78,0.31,0.356,0.449,0.345,24.86,24.29,5.89,4.53
"Ammons, Logan",Southland,SFA,So,P,,,16,77,245,15.58,12.99,2.59,0.313,0.416,0.453,0.379,15.58,25.97,6.75,4.71
"Amone, Tristan",Metro Atlantic,Fairfield,So,P,,,11,53,114,20.75,15.09,5.66,0.262,0.377,0.286,0.307,15.09,22.64,4.91,3.6
"Anders, Taylor",Southland,Central Ark.,Jr,P,,,15,69,197,23.19,10.14,13.05,0.293,0.377,0.483,0.365,18.84,17.39,7.2,3.68
"Anderson, Aidan",Southland,McNeese,Jr,P,,,62.2,268,967,26.87,11.19,15.68,0.208,0.313,0.312,0.284,18.66,22.76,3.3,3.2
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,23.2,108,418,12.96,10.19,2.77,0.272,0.352,0.37,0.317,17.59,31.48,5.32,3.62
"Anderson, Ben",American East,Binghamton,So,P,,,33.2,134,328,17.91,7.46,10.45,0.184,0.276,0.263,0.246,22.39,29.1,1.6,3.54
"Anderson, Chase",Mid-Eastern,Norfolk St.,Jr,P,,,98,423,1096,18.44,8.98,9.46,0.274,0.333,0.351,0.299,22.22,21.99,3.12,2.94
"Anderson, Cody",Pac 12,Washington St.,Sr,P,,,46.2,234,769,13.68,6.41,7.27,0.364,0.419,0.483,0.39,23.93,19.23,6.56,4.03
"Anderson, Elliott",SEC,Auburn,So,P,,,29.2,130,473,24.62,11.54,13.08,0.227,0.323,0.327,0.291,23.08,17.69,3.64,3.15
"Anderson, Grant",Southland,McNeese,Jr,P,2018,628,81.2,366,1297,19.67,9.84,9.83,0.261,0.347,0.39,0.322,25.41,17.49,3.86,3.87
"Anderson, Jack",Colonial,Hofstra,Fr,P,,,3,14,53,14.29,7.14,7.15,0.25,0.286,0.25,0.237,21.43,28.57,6,2.81
"Anderson, Jack",Ivy League,Princeton,Fr,P,,,20,101,171,13.86,11.88,1.98,0.305,0.396,0.451,0.364,20.79,21.78,5.85,4.65
"Anderson, Jack",Missouri Valley,Illinois St.,Fr,P,,,6,32,33,0,15.63,-15.63,0.385,0.5,0.577,0.463,18.75,31.25,10.5,8.31
"Anderson, Ka'ikepono",Sun Belt,UT Arlington,Jr,P,,,71.1,311,917,17.04,6.11,10.93,0.278,0.331,0.454,0.337,20.26,28.62,4.42,4.5
"Anderson, Kyle",Northeast,Central Conn. St.,Sr,P,,,36,162,120,14.81,6.79,8.02,0.285,0.34,0.416,0.322,14.2,31.48,3.5,4.59
