Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Alders, Alex",Horizon,Wright St.,So,OF,,,185,0.22,0.286,0.341,3,0.122,8,9,31.89,4.86,-27.03,0.317,0.278,-9,14
"Aldrete, Carter",Pac 12,Arizona St.,So,INF,,,315,0.265,0.317,0.378,5,0.113,3,6,19.05,6.98,-12.07,0.314,0.304,-8,30
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,19,0.143,0.368,0.214,0,0.071,0,0,31.58,21.05,-10.53,0.25,0.295,-1,2
"Alejo, Ray",AAC,UCF,So,OF,,,179,0.268,0.363,0.353,1,0.085,19,23,31.28,11.73,-19.55,0.417,0.324,-2,20
"Alescio, Mike",Big East,Seton Hall,Sr,C,,,394,0.319,0.383,0.434,3,0.115,27,35,20.05,8.38,-11.67,0.401,0.359,8,56
"Alexander II, Cory",Conference USA,Old Dominion,Jr,OF,,,66,0.273,0.364,0.345,0,0.073,8,11,25.76,7.58,-18.18,0.395,0.328,0,8
"Alexander, Elijah",Western Athletic,UTRGV,So,OF,,,161,0.326,0.398,0.525,4,0.199,2,4,23.6,6.21,-17.39,0.42,0.396,8,28
"Alexander, Hill",Missouri Valley,Dallas Baptist,Jr,OF,,,60,0.294,0.4,0.51,3,0.216,1,1,30,11.67,-18.33,0.4,0.393,3,10
"Alexander, Hunter",SEC,Alabama,Sr,INF,,,293,0.255,0.341,0.433,9,0.178,0,4,27.99,10.92,-17.07,0.34,0.339,1,37
"Alexander, Isaac",OVC,Jacksonville St.,Fr,SS,,,181,0.331,0.409,0.5,4,0.169,4,4,19.89,12.15,-7.74,0.409,0.395,9,31
"Alexander, Luke",SEC,Mississippi St.,Jr,INF,,,430,0.206,0.284,0.313,10,0.107,6,6,20.47,9.53,-10.94,0.24,0.272,-23,30
"Alexander, Troy",Sun Belt,Little Rock,Jr,OF,,,147,0.288,0.354,0.492,6,0.205,5,9,19.05,7.48,-11.57,0.323,0.362,3,21
"Alexiades, Reese",West Coast,Pepperdine,Fr,OF,,,13,0.083,0.154,0.083,0,0,0,0,38.46,7.69,-30.77,0.143,0.121,-2,-1
"Alexis, A.",Southwestern,Prairie View,So,PR,,,5,0,0,0,0,0,0,0,40,0,-40,0,0,-1,-1
"Allard, Conor",Mountain West,Nevada,Fr,C,,,66,0.214,0.303,0.304,0,0.089,1,1,28.79,7.58,-21.21,0.324,0.281,-3,5
