Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Alexander, Connor",AAC,Memphis,Sr,P,,,98,492,12.6,7.11,5.49,0.29,0.348,0.416,0.332,30.08,21.54,4.63
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,10.1,41,31.71,12.2,19.51,0.139,0.244,0.222,0.218,31.71,12.2,2.06
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,17.5,100,21,14,7,0.301,0.4,0.398,0.353,14,23,4.8
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,28.9,151,20.53,17.22,3.31,0.207,0.358,0.372,0.327,21.19,21.85,5.36
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,40.8,233,8.58,10.73,-2.15,0.357,0.438,0.533,0.415,25.32,21.03,6.04
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,25.7,164,13.41,13.41,0,0.283,0.378,0.42,0.348,24.39,22.56,5.13
"Allen, Logan",Conference USA,FIU,Fr,P,,,27.2,101,34.65,3.96,30.69,0.211,0.238,0.295,0.231,19.8,19.8,1.97
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,0.1,4,25,25,0,0.5,0.75,0.5,0.573,0,0,43.15
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,14.5,87,16.09,14.94,1.15,0.324,0.448,0.479,0.407,13.79,25.29,6.32
"Allen, Winston",Colonial,Delaware,Fr,P,,,6.1,31,16.13,12.9,3.23,0.269,0.387,0.385,0.345,22.58,22.58,3.97
"Alley, Trent",Southern,Furman,So,UT,,,17.4,92,11.96,13.04,-1.08,0.338,0.424,0.525,0.408,14.13,31.52,5.45
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,36.9,179,27.37,5.59,21.78,0.242,0.285,0.37,0.283,18.99,23.46,3.15
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,45.3,258,11.24,12.02,-0.78,0.274,0.368,0.377,0.329,30.23,18.22,4.89
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,24.2,149,24.83,15.44,9.39,0.262,0.376,0.468,0.364,20.81,16.78,4.01
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,7,51,7.84,35.29,-27.45,0.323,0.588,0.548,0.494,15.69,17.65,12.43
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,7,50,4,12,-8,0.5,0.56,0.738,0.539,22,16,7.43
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,3.4,24,4.17,20.83,-16.66,0.278,0.417,0.444,0.374,20.83,29.17,10.79
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,26.9,148,20.95,11.49,9.46,0.272,0.378,0.368,0.336,16.89,23.65,4.75
"Alvarez, Andrew",Big West,Cal Poly,Fr,P,,,9.1,44,20.45,4.55,15.9,0.257,0.341,0.286,0.285,20.45,18.18,3.15
"Alvarez, Daniel",Mid-Eastern,Coppin St.,Jr,P,,,4.2,35,2.86,25.71,-22.85,0.48,0.6,0.72,0.54,20,14.29,9.1
