Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Alderman, Trey",Big South,Radford,So,P,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alders, Alex",Horizon,Wright St.,So,OF,,,269,0.229,0.294,0.347,3,0.119,12,13,30.86,5.2,-25.66,0.329,0.283,-12,21
"Aldrete, Carter",Pac 12,Arizona St.,So,INF,,,443,0.281,0.334,0.397,6,0.116,3,7,19.86,7.67,-12.19,0.341,0.319,-6,48
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,21,0.125,0.333,0.188,0,0.063,0,0,33.33,19.05,-14.28,0.222,0.267,-1,1
"Alejo, Ray",AAC,UCF,So,OF,,,255,0.295,0.373,0.397,1,0.103,34,39,28.63,10.2,-18.43,0.433,0.341,1,32
"Alescio, Mike",Big East,Seton Hall,Sr,C,,,577,0.302,0.373,0.411,4,0.109,37,45,23.74,9.36,-14.38,0.403,0.346,5,76
"Alexander II, Cory",Conference USA,Old Dominion,Jr,OF,,,105,0.237,0.295,0.28,0,0.043,10,14,25.71,4.76,-20.95,0.328,0.263,-6,6
"Alexander, Elijah",Western Athletic,UTRGV,So,OF,,,222,0.281,0.356,0.453,4,0.172,3,5,23.42,4.95,-18.47,0.365,0.354,4,31
"Alexander, Hill",Missouri Valley,Dallas Baptist,Jr,OF,,,88,0.274,0.386,0.466,3,0.192,2,2,30.68,13.64,-17.04,0.386,0.37,3,13
"Alexander, Hunter",SEC,Alabama,Sr,INF,,,393,0.263,0.354,0.42,9,0.157,1,5,27.48,11.45,-16.03,0.358,0.34,2,50
"Alexander, Isaac",OVC,Jacksonville St.,Fr,SS,,,247,0.308,0.385,0.46,5,0.152,5,6,20.65,11.34,-9.31,0.385,0.37,7,37
"Alexander, Luke",SEC,Mississippi St.,Jr,INF,,,620,0.222,0.3,0.333,13,0.112,8,9,20.16,9.84,-10.32,0.263,0.286,-26,50
"Alexander, Troy",Sun Belt,Little Rock,Jr,OF,,,210,0.291,0.357,0.476,7,0.185,7,11,20.48,6.19,-14.29,0.343,0.359,4,30
"Alexiades, Reese",West Coast,Pepperdine,Fr,OF,,,25,0.091,0.16,0.091,0,0,0,0,36,8,-28,0.154,0.131,-4,-1
"Alexis, A.",Southwestern,Prairie View,So,PR,,,6,0,0,0,0,0,0,0,33.33,0,-33.33,0,0,-2,-1
"Allard, Conor",Mountain West,Nevada,Fr,C,,,89,0.221,0.303,0.299,0,0.078,1,1,24.72,7.87,-16.85,0.309,0.277,-4,7
"Allbery, Jason",Big East,Creighton,So,OF,,,401,0.237,0.324,0.32,2,0.083,11,15,13.47,9.73,-3.74,0.273,0.294,-14,35
"Alldred, Cam",AAC,Cincinnati,Jr,P,,,138,0.22,0.312,0.271,0,0.051,1,1,30.43,12.32,-18.11,0.342,0.272,-7,9
"Allen, Connor",ACC,Miami (FL),Fr,1B,,,7,0,0.143,0,0,0,0,0,71.43,0,-71.43,0,0.103,-1,-1
"Allen, Dylan",Big South,Liberty,Jr,INF,,,373,0.233,0.399,0.314,3,0.081,1,3,15.28,18.23,2.95,0.28,0.338,1,46
"Allen, Hunter",Southwestern,Alabama St.,Sr,C,,,652,0.273,0.368,0.437,17,0.164,5,6,16.87,10.43,-6.44,0.31,0.356,12,91
"Allen, Jake",Ivy League,Harvard,Jr,C,,,140,0.268,0.386,0.321,1,0.054,3,5,30,15,-15,0.414,0.33,-1,16
"Allen, Jojo",OVC,UT Martin,So,INF,,,136,0.206,0.257,0.349,3,0.143,0,0,32.35,5.88,-26.47,0.287,0.263,-8,8
"Allen, Jonathan",West Coast,San Francisco,Jr,OF,,,264,0.308,0.39,0.48,7,0.172,12,15,20.08,10.23,-9.85,0.373,0.378,10,42
"Allen, Kobi",West Coast,Pacific,So,OF,,,33,0.038,0.242,0.038,0,0,2,2,30.3,15.15,-15.15,0.063,0.175,-4,0
"Allen, Logan",Conference USA,FIU,Fr,P,,,161,0.309,0.385,0.388,2,0.079,2,7,13.04,8.7,-4.34,0.35,0.347,2,21
"Allen, Matt",Big South,Liberty,Sr,C,,,191,0.208,0.319,0.264,1,0.057,0,0,15.71,12.57,-3.14,0.248,0.275,-10,14
"Allen, Tanner",SEC,Mississippi St.,Fr,OF,,,308,0.287,0.351,0.444,5,0.156,0,2,20.13,8.77,-11.36,0.352,0.344,2,40
"Alley, Trent",Southern,Furman,So,UT,,,51,0.167,0.176,0.229,0,0.063,1,1,37.25,1.96,-35.29,0.267,0.175,-7,-1
"Alleyne, Chris",Big 10,Maryland,Fr,INF,,,31,0.08,0.194,0.08,0,0,0,0,29.03,6.45,-22.58,0.125,0.158,-5,-1
"Alleyne, Craig",Colonial,Towson,Jr,OF,,,93,0.215,0.29,0.304,1,0.089,2,2,23.66,7.53,-16.13,0.281,0.272,-5,6
"Allocca, Will",ACC,Virginia,So,C,,,11,0.1,0.182,0.1,0,0,0,0,27.27,9.09,-18.18,0.143,0.143,-2,0
"Allum, Taylor",ASUN,Kennesaw State,Sr,OF,,,567,0.287,0.376,0.461,21,0.174,3,8,16.58,11.82,-4.76,0.317,0.367,15,84
"Almendarez, Jacob",Sun Belt,Texas State,Jr,INF,,,354,0.267,0.325,0.296,0,0.029,8,10,11.86,7.63,-4.23,0.306,0.286,-15,29
"Altavilla, Angelo",Big 10,Nebraska,Jr,INF,,,488,0.275,0.375,0.374,6,0.099,9,12,17.21,13.11,-4.1,0.325,0.337,1,60
"Altenberger, Ryan",Big East,Xavier,Fr,INF,,,217,0.226,0.309,0.347,3,0.121,12,14,23.96,7.83,-16.13,0.292,0.292,-8,19
"Alu, Jake",ACC,Boston College,Jr,2B,,,398,0.275,0.334,0.35,2,0.075,17,25,13.82,8.54,-5.28,0.314,0.305,-10,38
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,565,0.274,0.326,0.356,5,0.083,10,13,15.58,7.08,-8.5,0.319,0.302,-16,53
"Alvarez, Andres",Pac 12,Washington St.,Jr,INF,,,467,0.285,0.347,0.375,1,0.09,11,15,13.06,9.42,-3.64,0.329,0.323,-5,52
"Alvarez, Danny",ACC,Pittsburgh,Fr,INF,,,14,0,0.429,0,0,0,0,0,21.43,28.57,7.14,0,0.3,0,1
"Alviarez, Carlos",Mid-Eastern,Coppin St.,Jr,OF,,,113,0.221,0.336,0.253,0,0.032,3,3,29.2,12.39,-16.81,0.333,0.278,-5,8
"Amador, Willy",Conference USA,Rice,Sr,P,,,2,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
"Amanau, Rafael",Atlantic 10,La Salle,Sr,OF,,,40,0.105,0.15,0.158,0,0.053,0,0,60,5,-55,0.286,0.14,-7,-2
"Amaral, Daniel",Pac 12,UCLA,Jr,OF,2018,414,553,0.274,0.373,0.365,4,0.091,32,44,13.92,9.95,-3.97,0.32,0.337,1,68
"Amditis, Michael",ACC,Miami (FL),So,C,,,106,0.245,0.292,0.309,0,0.064,0,0,18.87,6.6,-12.27,0.303,0.269,-6,7
"Ames, Nick",Mountain West,UNLV,Jr,INF,2018,435,621,0.289,0.367,0.524,31,0.235,1,1,26.57,11.11,-15.46,0.356,0.378,23,98
"Amion, Diandre",Conference USA,FIU,Jr,OF,,,73,0.254,0.301,0.333,0,0.079,1,1,17.81,5.48,-12.33,0.308,0.283,-3,6
"Ammons, Jordan",Southern,Mercer,Fr,OF,,,82,0.256,0.28,0.321,1,0.064,5,7,19.51,3.66,-15.85,0.311,0.265,-5,5
"Ammons, Justin",SEC,Tennessee,So,OF,,,464,0.263,0.366,0.369,5,0.106,11,16,15.3,11.42,-3.88,0.309,0.33,-2,55
"Amos, Alex",ACC,Pittsburgh,So,INF,,,367,0.281,0.401,0.31,0,0.028,9,13,16.89,14.71,-2.18,0.357,0.341,2,47
"Anatasia, Michael",ASUN,NJIT,Jr,OF,,,571,0.277,0.371,0.385,5,0.108,16,22,23.47,12.61,-10.86,0.372,0.339,2,72
"Anaya, David",Southland,Incarnate Word,So,INF,,,467,0.279,0.388,0.366,5,0.088,7,12,8.78,14.56,5.78,0.292,0.338,1,58
"Andersen, Logan",Sun Belt,Arkansas St.,Jr,OF,,,112,0.206,0.277,0.275,0,0.069,2,3,23.21,8.04,-15.17,0.276,0.249,-8,6
"Anderson, Austin",Mountain West,UNLV,Sr,3B,,,452,0.251,0.301,0.322,1,0.071,11,16,20.8,7.3,-13.5,0.323,0.282,-20,35
"Anderson, Ben",Southern,Furman,Fr,OF,,,243,0.361,0.461,0.53,3,0.168,5,13,19.75,14.4,-5.35,0.458,0.426,19,48
