Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alejo, Ray",AAC,UCF,So,OF,,,76,0.352,0.395,0.493,0,0.141,15,16,22.37,6.58,-15.79,0.463,0.382,3,12
"Alescio, Mike",Big East,Seton Hall,Sr,C,,,61,0.298,0.433,0.404,1,0.106,3,3,26.23,19.67,-6.56,0.419,0.374,2,9
"Alexander II, Cory",Conference USA,Old Dominion,Jr,OF,,,20,0.211,0.2,0.211,0,0,0,0,20,0,-20,0.25,0.176,-3,0
"Alexander, Elijah",Western Athletic,UTRGV,So,OF,,,61,0.157,0.259,0.255,0,0.098,1,1,22.95,1.64,-21.31,0.216,0.238,-5,2
"Alexander, Hill",Missouri Valley,Dallas Baptist,Jr,OF,,,24,0.278,0.417,0.444,0,0.166,1,1,25,20.83,-4.17,0.385,0.372,1,4
"Alexander, Hunter",SEC,Alabama,Sr,INF,,,62,0.226,0.339,0.34,0,0.114,1,1,33.87,11.29,-22.58,0.375,0.306,-2,6
"Alexander, Isaac",OVC,Jacksonville St.,Fr,SS,,,66,0.246,0.328,0.351,1,0.105,1,2,22.73,9.09,-13.64,0.317,0.302,-2,6
"Alexander, Luke",SEC,Mississippi St.,Jr,INF,,,91,0.235,0.308,0.333,1,0.098,0,0,16.48,8.79,-7.69,0.273,0.284,-4,7
"Alexander, Troy",Sun Belt,Little Rock,Jr,OF,,,63,0.298,0.365,0.439,1,0.141,2,2,23.81,3.17,-20.64,0.39,0.351,1,9
"Alexiades, Reese",West Coast,Pepperdine,Fr,OF,,,12,0.1,0.182,0.1,0,0,0,0,33.33,8.33,-25,0.167,0.143,-2,0
"Alexis, A.",Southwestern,Prairie View,So,PR,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Allard, Conor",Mountain West,Nevada,Fr,C,,,23,0.238,0.304,0.286,0,0.048,0,0,13.04,8.7,-4.34,0.278,0.267,-1,1
"Allbery, Jason",Big East,Creighton,So,OF,,,55,0.18,0.222,0.2,0,0.02,2,2,16.36,3.64,-12.72,0.214,0.192,-7,0
"Allen, Connor",ACC,Miami (FL),Fr,1B,,,2,0,0,0,0,0,0,0,100,0,-100,NA,0,-1,0
"Allen, Dylan",Big South,Liberty,Jr,INF,,,92,0.203,0.364,0.275,1,0.072,1,2,16.3,11.96,-4.34,0.241,0.305,-2,9
"Allen, Hunter",Southwestern,Alabama St.,Sr,C,,,23,0.211,0.348,0.421,1,0.21,0,0,26.09,13.04,-13.05,0.25,0.339,0,3
