Player,Conference,School,Yr,Pos,Draft,Pick,IP,PA,K%,BB%,K%-BB%,AVG,OBP,SLG,wOBA,GO%,FO%,FIP
"Alexander, Connor",AAC,Memphis,Sr,P,,,153.6,710,15.35,5.92,9.43,0.309,0.354,0.429,0.338,25.07,22.82,3.55
"Alexander, Nathan",Conference USA,UTSA,Jr,P,2018,717,20.2,91,18.68,5.49,13.19,0.294,0.33,0.424,0.324,16.48,30.77,3.49
"Alkire, Jack",Atlantic 10,VCU,Jr,P,,,34.1,166,25.3,11.45,13.85,0.231,0.343,0.276,0.287,17.47,19.28,3.35
"Alldred, Cam",AAC,Cincinnati,Jr,P,2018,714,74.2,352,21.88,7.67,14.21,0.266,0.349,0.411,0.332,16.19,25.28,4.17
"Allen, Brad",Mid American,Eastern Mich.,Sr,P,,,82.4,387,17.57,10.08,7.49,0.261,0.357,0.38,0.326,17.83,26.87,4.21
"Allen, Cody",Southland,Incarnate Word,Jr,P,,,74.3,359,19.22,5.01,14.21,0.275,0.312,0.372,0.296,21.17,26.46,3.01
"Allen, Logan",Conference USA,FIU,Fr,P,,,46.1,209,23.92,5.74,18.18,0.289,0.335,0.46,0.337,13.88,25.84,3.71
"Allen, Trent",Missouri Valley,Wichita St.,Fr,P,,,1,5,40,20,20,0.25,0.4,0.5,0.387,20,0,2.15
"Allen, Wilhelm",Southwestern,Southern U.,So,P,,,32,188,10.64,16.49,-5.85,0.313,0.436,0.34,0.356,25,18.09,5.27
"Allen, Winston",Colonial,Delaware,Fr,P,,,12.1,57,15.79,8.77,7.02,0.234,0.351,0.362,0.319,22.81,24.56,4.97
"Alley, Trent",Southern,Furman,So,UT,,,31.4,155,17.42,10.97,6.45,0.315,0.413,0.528,0.4,20,18.71,6.62
"Allgeyer, Nick",Big 10,Iowa,Jr,P,2018,356,93.1,414,20.29,8.45,11.84,0.223,0.292,0.343,0.278,20.53,27.54,3.61
"Allinger, Austin",Missouri Valley,Evansville,Jr,P,,,100.9,482,23.03,10.37,12.66,0.258,0.344,0.399,0.325,20.75,19.92,4.25
"Almquist, Andy",Mid American,Miami (OH),Jr,P,,,49,264,22.73,10.98,11.75,0.268,0.356,0.386,0.328,23.11,17.42,3.78
"Alsbrooks, Quentin",Southwestern,Alabama A&M,Jr,P,,,18.2,112,9.82,20.54,-10.72,0.316,0.5,0.367,0.403,15.18,23.21,7.76
"Altamarino, Kevin",Western Athletic,CSU Bakersfield,Fr,P,,,22,97,13.4,12.37,1.03,0.253,0.361,0.316,0.307,26.8,20.62,4.01
"Altieri, Zach",Colonial,Hofstra,Jr,P,,,9.5,66,16.67,24.24,-7.57,0.375,0.53,0.5,0.452,12.12,16.67,7.57
"Alvarado, Luis",Big 10,Nebraska,Sr,OF,2018,511,49.9,233,21.03,7.73,13.3,0.225,0.313,0.315,0.283,21.46,24.03,4.17
