Player,Conference,School,Yr,Pos,Draft,Pick,PA,AVG,OBP,SLG,HR,ISO,SB,SBA,K%,BB%,BB%-K%,BABIP,wOBA,wRAA,wRC
"Aldrete, Carter",Pac 12,Arizona St.,So,INF,,,155,0.277,0.355,0.394,2,0.117,1,3,16.13,9.03,-7.1,0.324,0.329,-1,18
"Aldridge, Chase",Ivy League,Harvard,Jr,INF,,,14,0.2,0.429,0.3,0,0.1,0,0,28.57,21.43,-7.14,0.333,0.351,0,2
"Alejo, Ray",AAC,UCF,So,OF,,,179,0.268,0.367,0.353,1,0.085,19,23,31.28,11.73,-19.55,0.417,0.324,-2,20
"Alescio, Mike",Big East,Seton Hall,Sr,C,,,147,0.303,0.385,0.41,2,0.107,10,13,25.17,10.2,-14.97,0.407,0.348,2,20
"Alexander II, Cory",Conference USA,Old Dominion,Jr,OF,,,51,0.268,0.388,0.341,0,0.073,2,4,23.53,7.84,-15.69,0.379,0.335,0,6
"Alexander, Elijah",Western Athletic,UTRGV,So,OF,,,161,0.326,0.4,0.525,4,0.199,2,4,23.6,6.21,-17.39,0.42,0.396,8,28
"Alexander, Hill",Missouri Valley,Dallas Baptist,Jr,OF,,,60,0.294,0.4,0.51,3,0.216,1,1,30,11.67,-18.33,0.4,0.393,3,10
"Alexander, Hunter",SEC,Alabama,Sr,INF,,,130,0.25,0.364,0.407,3,0.157,0,1,33.85,12.31,-21.54,0.387,0.341,1,17
"Alexander, Isaac",OVC,Jacksonville St.,Fr,SS,,,181,0.331,0.416,0.5,4,0.169,4,4,19.89,12.15,-7.74,0.409,0.395,9,31
"Alexander, Luke",SEC,Mississippi St.,Jr,INF,,,222,0.215,0.31,0.323,5,0.108,1,1,14.41,9.91,-4.5,0.23,0.284,-10,18
"Alexander, Troy",Sun Belt,Little Rock,Jr,OF,,,147,0.288,0.354,0.492,6,0.204,5,9,19.05,7.48,-11.57,0.323,0.362,3,21
"Alexiades, Reese",West Coast,Pepperdine,Fr,OF,,,13,0.083,0.154,0.083,0,0,0,0,38.46,7.69,-30.77,0.143,0.121,-2,-1
"Alexis, A.",Southwestern,Prairie View,So,PR,,,5,0,0,0,0,0,0,0,40,0,-40,0,0,-1,-1
"Allard, Conor",Mountain West,Nevada,Fr,C,,,66,0.214,0.312,0.304,0,0.09,1,1,28.79,7.58,-21.21,0.324,0.281,-3,5
"Allbery, Jason",Big East,Creighton,So,OF,,,154,0.244,0.36,0.325,0,0.081,4,4,11.04,12.99,1.95,0.275,0.311,-3,16
"Allen, Connor",ACC,Miami (FL),Fr,1B,,,5,0,0.2,0,0,0,0,0,60,0,-60,0,0.144,-1,0
"Allen, Dylan",Big South,Liberty,Jr,INF,,,179,0.257,0.427,0.39,2,0.133,0,1,12.85,20.11,7.26,0.295,0.37,5,27
"Allen, Hunter",Southwestern,Alabama St.,Sr,C,,,192,0.305,0.413,0.457,4,0.152,3,3,16.67,10.42,-6.25,0.356,0.38,7,31
"Allen, Jake",Ivy League,Harvard,Jr,C,,,64,0.294,0.403,0.392,1,0.098,2,2,29.69,12.5,-17.19,0.438,0.354,1,9
"Allen, Jojo",OVC,UT Martin,So,INF,,,73,0.212,0.288,0.394,2,0.182,0,0,30.14,9.59,-20.55,0.286,0.296,-2,7
"Allen, Jonathan",West Coast,San Francisco,Jr,OF,,,202,0.32,0.398,0.48,4,0.16,10,10,18.81,10.89,-7.92,0.385,0.379,8,32
"Allen, Kobi",West Coast,Pacific,So,OF,,,21,0.059,0.238,0.059,0,0,0,0,28.57,14.29,-14.28,0.091,0.175,-3,0
"Allen, Logan",Conference USA,FIU,Fr,P,,,121,0.346,0.425,0.423,2,0.077,1,6,7.44,9.92,2.48,0.362,0.376,4,19
"Allen, Matt",Big South,Liberty,Sr,C,,,18,0.2,0.333,0.533,1,0.333,0,0,22.22,16.67,-5.55,0.2,0.363,0,3
"Allen, Tanner",SEC,Mississippi St.,Fr,OF,,,205,0.311,0.385,0.483,4,0.172,0,2,18.54,10.24,-8.3,0.371,0.373,7,32
"Alley, Trent",Southern,Furman,So,UT,,,16,0.062,0.062,0.062,0,0,0,0,37.5,0,-37.5,0.1,0.055,-4,-2
"Alleyne, Chris",Big 10,Maryland,Fr,INF,,,28,0.08,0.148,0.08,0,0,0,0,32.14,3.57,-28.57,0.125,0.117,-5,-2
"Alleyne, Craig",Colonial,Towson,Jr,OF,,,75,0.206,0.301,0.302,1,0.096,1,1,25.33,8,-17.33,0.273,0.273,-4,5
